rank,tier,name,section,views_3mo,wikipedia_title,flag
1469,C,Richard Branson,TECH & BUSINESS,224890,Richard Branson,
1470,C,Christina Aguilera,MODERN POP,346588,Christina Aguilera,
1471,C,Jerry Rice,AMERICAN FOOTBALL,114079,Jerry Rice,
1472,C,John Hancock,"EXPLORERS, PIRATES, WILD WEST & OUTLAWS",141743,John Hancock,
1473,C,Giuseppe Garibaldi,WORLD LEADERS (HISTORICAL),141860,Giuseppe Garibaldi,
1474,C,Connor McDavid,BASEBALL & HOCKEY,95434,Connor McDavid,
1475,C,Roberto Baggio,SOCCER,344683,Roberto Baggio,
1476,C,Eileen Gu,"OLYMPICS, TENNIS, GOLF, MOTORSPORT & MORE",193204,Eileen Gu,
1477,C,Niccolò Machiavelli,WRITERS & PHILOSOPHERS,248394,Niccolò Machiavelli,
1478,C,Carol Burnett,CLASSIC HOLLYWOOD,432241,Carol Burnett,
1479,C,Big Boi,HIP-HOP & R&B,61979,Big Boi,
1480,C,Bob Saget,COMEDIANS,325660,Bob Saget,
1481,C,Nancy Pelosi,US PRESIDENTS & POLITICIANS,263745,Nancy Pelosi,
1482,C,Kevin Garnett,BASKETBALL,210093,Kevin Garnett,
1483,C,Nicolaus Copernicus,"SCIENTISTS, INVENTORS & THINKERS",140027,Nicolaus Copernicus,
1484,C,Sandro Botticelli,"ARTISTS, ARCHITECTS & PHOTOGRAPHERS",58025,Sandro Botticelli,
1485,C,Zhang Weili,"BOXING, MMA, WRESTLING & STRENGTH",72111,Zhang Weili,
1486,C,Alanis Morissette,ROCK & POP LEGENDS,459159,Alanis Morissette,
1487,C,El Cid,"MEDIEVAL, RENAISSANCE & EARLY MODERN RULERS AND WARRIORS",103449,El Cid,
1488,C,Sofia Coppola,FILM DIRECTORS,306259,Sofia Coppola,
1489,C,Tommy Hilfiger,FASHION & MODELS,81274,Tommy Hilfiger,
1490,C,Johannes Brahms,"COMPOSERS, CLASSICAL & STAGE",65784,Johannes Brahms,
1491,C,Penélope Cruz,MODERN ACTORS,1033939,Penélope Cruz,
1492,C,Ray Kroc,TECH & BUSINESS,224215,Ray Kroc,
1493,C,Marc Anthony,MODERN POP,328987,Marc Anthony,
1494,C,Emmitt Smith,AMERICAN FOOTBALL,112762,Emmitt Smith,
1495,C,Edmund Hillary,"EXPLORERS, PIRATES, WILD WEST & OUTLAWS",138609,Edmund Hillary,
1496,C,Hugo Chávez,WORLD LEADERS (HISTORICAL),137493,Hugo Chávez,
1497,C,Mario Lemieux,BASEBALL & HOCKEY,86156,Mario Lemieux,
1498,C,Gianluigi Buffon,SOCCER,341163,Gianluigi Buffon,
1499,C,Phil Mickelson,"OLYMPICS, TENNIS, GOLF, MOTORSPORT & MORE",188768,Phil Mickelson,
1500,C,Truman Capote,WRITERS & PHILOSOPHERS,244494,Truman Capote,
1501,C,Kiefer Sutherland,CLASSIC HOLLYWOOD,420171,Kiefer Sutherland,
1502,C,Andy Samberg,COMEDIANS,293288,Andy Samberg,
1503,C,Michael Bloomberg,US PRESIDENTS & POLITICIANS,225146,Michael Bloomberg,
1504,C,Hakeem Olajuwon,BASKETBALL,196024,Hakeem Olajuwon,
1505,C,Niels Bohr,"SCIENTISTS, INVENTORS & THINKERS",127280,Niels Bohr,
1506,C,Auguste Rodin,"ARTISTS, ARCHITECTS & PHOTOGRAPHERS",54095,Auguste Rodin,
1507,C,Julio César Chávez,"BOXING, MMA, WRESTLING & STRENGTH",65797,Julio César Chávez,
1508,C,Eddie Vedder,ROCK & POP LEGENDS,427962,Eddie Vedder,
1509,C,Erik the Red,"MEDIEVAL, RENAISSANCE & EARLY MODERN RULERS AND WARRIORS",59333,Erik the Red,
1510,C,David Cronenberg,FILM DIRECTORS,286534,David Cronenberg,
1511,C,Giorgio Armani,FASHION & MODELS,65806,Giorgio Armani,
1512,C,Giuseppe Verdi,"COMPOSERS, CLASSICAL & STAGE",57718,Giuseppe Verdi,
1513,C,Zoe Saldaña,MODERN ACTORS,1028042,Zoe Saldaña,
