rank,name,section,views_3mo,wikipedia_title,flag
1679,Pablo Neruda,WRITERS & PHILOSOPHERS,68386,Pablo Neruda,
1680,Joan Crawford,CLASSIC HOLLYWOOD,257285,Joan Crawford,
1681,Pedro Pascal,MODERN ACTORS,666605,Pedro Pascal,
1682,Alfonso Ribeiro,COMEDIANS,136392,Alfonso Ribeiro,
1683,Anthony Kiedis,ROCK & POP LEGENDS,319922,Anthony Kiedis,
1684,Maurice Sendak,WRITERS & PHILOSOPHERS,42195,Maurice Sendak,
1685,Leslie Nielsen,CLASSIC HOLLYWOOD,253884,Leslie Nielsen,
1686,Christian Bale,MODERN ACTORS,665300,Christian Bale,
1687,Larry the Cable Guy,COMEDIANS,132853,Larry the Cable Guy,
1688,Bono,ROCK & POP LEGENDS,319206,Bono,
1689,Charlton Heston,CLASSIC HOLLYWOOD,251466,Charlton Heston,
1690,Demi Moore,MODERN ACTORS,663025,Demi Moore,
1691,Eric Idle,COMEDIANS,132547,Eric Idle,
1692,Brian May,ROCK & POP LEGENDS,312354,Brian May,
1693,Sidney Poitier,CLASSIC HOLLYWOOD,249966,Sidney Poitier,
1694,Tom Hardy,MODERN ACTORS,662616,Tom Hardy,
1695,Gabriel Iglesias,COMEDIANS,116881,Gabriel Iglesias,
1696,Joni Mitchell,ROCK & POP LEGENDS,308300,Joni Mitchell,
1697,Bette Midler,CLASSIC HOLLYWOOD,248668,Bette Midler,
1698,Idris Elba,MODERN ACTORS,658165,Idris Elba,
1699,Benny Hill,COMEDIANS,108823,Benny Hill,
1700,Buddy Holly,ROCK & POP LEGENDS,308256,Buddy Holly,
1701,Leonard Nimoy,CLASSIC HOLLYWOOD,241600,Leonard Nimoy,
1702,Vanessa Kirby,MODERN ACTORS,657911,Vanessa Kirby,
1703,Dana Carvey,COMEDIANS,94614,Dana Carvey,
1704,James Brown,ROCK & POP LEGENDS,304949,James Brown,
1705,Andy Griffith,CLASSIC HOLLYWOOD,239960,Andy Griffith,
1706,Ralph Fiennes,MODERN ACTORS,656646,Ralph Fiennes,
1707,Gallagher,COMEDIANS,68266,Gallagher (comedian),
1708,Patti Smith,ROCK & POP LEGENDS,304721,Patti Smith,
1709,Mary Tyler Moore,CLASSIC HOLLYWOOD,239852,Mary Tyler Moore,
1710,Diane Keaton,MODERN ACTORS,651368,Diane Keaton,
1711,Carrot Top,COMEDIANS,62917,Carrot Top,
1712,Cat Stevens,ROCK & POP LEGENDS,303207,Cat Stevens,
1713,Eartha Kitt,CLASSIC HOLLYWOOD,238075,Eartha Kitt,
1714,John Travolta,MODERN ACTORS,648664,John Travolta,
1715,David Byrne,ROCK & POP LEGENDS,303148,David Byrne,
1716,Peter Sellers,CLASSIC HOLLYWOOD,230394,Peter Sellers,
1717,Emma Watson,MODERN ACTORS,643581,Emma Watson,
1718,Morrissey,ROCK & POP LEGENDS,302839,Morrissey,
1719,Brigitte Bardot,CLASSIC HOLLYWOOD,219726,Brigitte Bardot,
1720,Colin Farrell,MODERN ACTORS,641108,Colin Farrell,
1721,James Hetfield,ROCK & POP LEGENDS,294322,James Hetfield,
1722,David Hasselhoff,CLASSIC HOLLYWOOD,217358,David Hasselhoff,
1723,Morgan Freeman,MODERN ACTORS,634206,Morgan Freeman,
1724,Miles Davis,ROCK & POP LEGENDS,293345,Miles Davis,
1725,Alec Guinness,CLASSIC HOLLYWOOD,214655,Alec Guinness,
1726,Chris Evans,MODERN ACTORS,634115,Chris Evans (actor),
1727,Bryan Adams,ROCK & POP LEGENDS,291439,Bryan Adams,
1728,Gene Kelly,CLASSIC HOLLYWOOD,213540,Gene Kelly,
1729,Cillian Murphy,MODERN ACTORS,630754,Cillian Murphy,
1730,Joan Baez,ROCK & POP LEGENDS,287727,Joan Baez,
1731,Don Knotts,CLASSIC HOLLYWOOD,199526,Don Knotts,
1732,Michelle Pfeiffer,MODERN ACTORS,625376,Michelle Pfeiffer,
1733,Cyndi Lauper,ROCK & POP LEGENDS,278550,Cyndi Lauper,
1734,Jackie Gleason,CLASSIC HOLLYWOOD,182035,Jackie Gleason,
1735,Michael Fassbender,MODERN ACTORS,621989,Michael Fassbender,
1736,Peter Gabriel,ROCK & POP LEGENDS,278260,Peter Gabriel,
1737,Buster Keaton,CLASSIC HOLLYWOOD,178791,Buster Keaton,
1738,Jane Fonda,MODERN ACTORS,620720,Jane Fonda,
1739,Lou Reed,ROCK & POP LEGENDS,275720,Lou Reed,
1740,Lynda Carter,CLASSIC HOLLYWOOD,178298,Lynda Carter,
1741,Dolph Lundgren,MODERN ACTORS,618257,Dolph Lundgren,
1742,Flea,ROCK & POP LEGENDS,267451,Flea (musician),
1743,Max von Sydow,CLASSIC HOLLYWOOD,167644,Max von Sydow,
1744,Elizabeth Olsen,MODERN ACTORS,618191,Elizabeth Olsen,
1745,Leonard Cohen,ROCK & POP LEGENDS,265485,Leonard Cohen,
1746,Marlene Dietrich,CLASSIC HOLLYWOOD,166804,Marlene Dietrich,
1747,Michael B. Jordan,MODERN ACTORS,609589,Michael B. Jordan,
1748,Grace Jones,ROCK & POP LEGENDS,264641,Grace Jones,
1749,George Takei,CLASSIC HOLLYWOOD,165949,George Takei,
1750,Sofía Vergara,MODERN ACTORS,609224,Sofía Vergara,
1751,Billy Idol,ROCK & POP LEGENDS,262516,Billy Idol,
1752,Adam West,CLASSIC HOLLYWOOD,163646,Adam West,
1753,Barbra Streisand,MODERN ACTORS,607772,Barbra Streisand,
1754,Corey Taylor,ROCK & POP LEGENDS,262446,Corey Taylor,
1755,Ginger Rogers,CLASSIC HOLLYWOOD,161648,Ginger Rogers,
1756,George Clooney,MODERN ACTORS,605727,George Clooney,
1757,Iggy Pop,ROCK & POP LEGENDS,261347,Iggy Pop,
1758,Greta Garbo,CLASSIC HOLLYWOOD,153256,Greta Garbo,
1759,Chadwick Boseman,MODERN ACTORS,602964,Chadwick Boseman,
1760,Angus Young,ROCK & POP LEGENDS,257135,Angus Young,
1761,Groucho Marx,CLASSIC HOLLYWOOD,148697,Groucho Marx,
1762,Ewan McGregor,MODERN ACTORS,600723,Ewan McGregor,
1763,Kate Bush,ROCK & POP LEGENDS,251721,Kate Bush,
1764,Billy Dee Williams,CLASSIC HOLLYWOOD,133806,Billy Dee Williams,
1765,Julie Andrews,MODERN ACTORS,599562,Julie Andrews,
1766,Sammy Davis Jr.,ROCK & POP LEGENDS,247280,Sammy Davis Jr.,
1767,Curly Howard,CLASSIC HOLLYWOOD,128705,Curly Howard,
1768,Salma Hayek,MODERN ACTORS,595614,Salma Hayek,
1769,Annie Lennox,ROCK & POP LEGENDS,244757,Annie Lennox,
1770,Moe Howard,CLASSIC HOLLYWOOD,123932,Moe Howard,
1771,Orlando Bloom,MODERN ACTORS,594117,Orlando Bloom,
1772,Van Morrison,ROCK & POP LEGENDS,240533,Van Morrison,
1773,Mae West,CLASSIC HOLLYWOOD,119321,Mae West,
1774,Gary Oldman,MODERN ACTORS,585632,Gary Oldman,
1775,Billie Joe Armstrong,ROCK & POP LEGENDS,240196,Billie Joe Armstrong,
1776,Toshiro Mifune,CLASSIC HOLLYWOOD,102319,Toshiro Mifune,
1777,Joaquin Phoenix,MODERN ACTORS,582201,Joaquin Phoenix,
1778,Little Richard,ROCK & POP LEGENDS,239087,Little Richard,
1779,Stan Laurel,CLASSIC HOLLYWOOD,102219,Stan Laurel,
1780,Bryan Cranston,MODERN ACTORS,576012,Bryan Cranston,
1781,John Mayer,ROCK & POP LEGENDS,237865,John Mayer,
1782,Oliver Hardy,CLASSIC HOLLYWOOD,84892,Oliver Hardy,
1783,Jodie Foster,MODERN ACTORS,575319,Jodie Foster,
1784,Chuck Berry,ROCK & POP LEGENDS,236143,Chuck Berry,
1785,Nathan Fillion,MODERN ACTORS,574328,Nathan Fillion,
1786,Fred Durst,ROCK & POP LEGENDS,234193,Fred Durst,
1787,Tom Hiddleston,MODERN ACTORS,567278,Tom Hiddleston,
1788,Keith Moon,ROCK & POP LEGENDS,230966,Keith Moon,
1789,J. K. Simmons,MODERN ACTORS,565378,J. K. Simmons,
1790,Liam Gallagher,ROCK & POP LEGENDS,226736,Liam Gallagher,
1791,Will Smith,MODERN ACTORS,562626,Will Smith,
1792,Serj Tankian,ROCK & POP LEGENDS,223675,Serj Tankian,
1793,Willem Dafoe,MODERN ACTORS,561768,Willem Dafoe,
1794,Donna Summer,ROCK & POP LEGENDS,222780,Donna Summer,
1795,Goldie Hawn,MODERN ACTORS,555523,Goldie Hawn,
1796,Louis Armstrong,ROCK & POP LEGENDS,221776,Louis Armstrong,
1797,Giancarlo Esposito,MODERN ACTORS,554752,Giancarlo Esposito,
1798,Joan Jett,ROCK & POP LEGENDS,217410,Joan Jett,
1799,Rami Malek,MODERN ACTORS,554636,Rami Malek,
1800,Rob Zombie,ROCK & POP LEGENDS,215284,Rob Zombie,
1801,Margot Robbie,MODERN ACTORS,551047,Margot Robbie,
1802,Billy Corgan,ROCK & POP LEGENDS,214882,Billy Corgan,
1803,Jamie Lee Curtis,MODERN ACTORS,550282,Jamie Lee Curtis,
1804,Sid Vicious,ROCK & POP LEGENDS,214261,Sid Vicious,
1805,Woody Harrelson,MODERN ACTORS,541961,Woody Harrelson,
1806,Ian Curtis,ROCK & POP LEGENDS,212908,Ian Curtis,
1807,Kit Harington,MODERN ACTORS,540837,Kit Harington,
1808,Trent Reznor,ROCK & POP LEGENDS,211155,Trent Reznor,
1809,Vin Diesel,MODERN ACTORS,538012,Vin Diesel,
1810,Jerry Garcia,ROCK & POP LEGENDS,205500,Jerry Garcia,
1811,Katie Holmes,MODERN ACTORS,535995,Katie Holmes,
1812,Brian Eno,ROCK & POP LEGENDS,205430,Brian Eno,
1813,Daniel Radcliffe,MODERN ACTORS,534337,Daniel Radcliffe,
1814,Tony Bennett,ROCK & POP LEGENDS,194796,Tony Bennett,
1815,Susan Sarandon,MODERN ACTORS,534316,Susan Sarandon,
1816,Bing Crosby,ROCK & POP LEGENDS,193204,Bing Crosby,
1817,Matthew Perry,MODERN ACTORS,533060,Matthew Perry,
1818,Wayne Newton,ROCK & POP LEGENDS,190508,Wayne Newton,
1819,Drew Barrymore,MODERN ACTORS,519075,Drew Barrymore,
1820,Florence Welch,ROCK & POP LEGENDS,187394,Florence Welch,
1821,Helen Mirren,MODERN ACTORS,518677,Helen Mirren,
1822,Lemmy,ROCK & POP LEGENDS,186567,Lemmy,
1823,Viggo Mortensen,MODERN ACTORS,517216,Viggo Mortensen,
1824,Beck,ROCK & POP LEGENDS,186469,Beck,
1825,Mila Kunis,MODERN ACTORS,513120,Mila Kunis,
1826,Noel Gallagher,ROCK & POP LEGENDS,184917,Noel Gallagher,
1827,Dave Bautista,MODERN ACTORS,510346,Dave Bautista,
1828,Michael Bublé,ROCK & POP LEGENDS,177807,Michael Bublé,
1829,Halle Berry,MODERN ACTORS,506489,Halle Berry,
1830,Thom Yorke,ROCK & POP LEGENDS,170866,Thom Yorke,
1831,Ray Liotta,MODERN ACTORS,504291,Ray Liotta,
1832,Chad Kroeger,ROCK & POP LEGENDS,170344,Chad Kroeger,
1833,Keira Knightley,MODERN ACTORS,501662,Keira Knightley,
1834,Maynard James Keenan,ROCK & POP LEGENDS,168879,Maynard James Keenan,
1835,Pamela Anderson,MODERN ACTORS,498826,Pamela Anderson,
1836,Otis Redding,ROCK & POP LEGENDS,166580,Otis Redding,
1837,Jenna Ortega,MODERN ACTORS,497805,Jenna Ortega,
1838,Nina Simone,ROCK & POP LEGENDS,165851,Nina Simone,
1839,Daniel Day-Lewis,MODERN ACTORS,496338,Daniel Day-Lewis,
1840,Johnny Rotten,ROCK & POP LEGENDS,164982,John Lydon,
1841,Russell Crowe,MODERN ACTORS,495794,Russell Crowe,
1842,Billie Holiday,ROCK & POP LEGENDS,164740,Billie Holiday,
1843,Sean Bean,MODERN ACTORS,489311,Sean Bean,
1844,Michael Stipe,ROCK & POP LEGENDS,164339,Michael Stipe,
1845,Uma Thurman,MODERN ACTORS,486822,Uma Thurman,
1846,Dave Matthews,ROCK & POP LEGENDS,162137,Dave Matthews,
1847,Winona Ryder,MODERN ACTORS,483370,Winona Ryder,
1848,Edith Piaf,ROCK & POP LEGENDS,159595,Édith Piaf,
1849,Salman Khan,MODERN ACTORS,482520,Salman Khan,acquitted hit-and-run/poaching cases
1850,Jonathan Davis,ROCK & POP LEGENDS,158625,Jonathan Davis,
1851,Monica Bellucci,MODERN ACTORS,481457,Monica Bellucci,
1852,Smokey Robinson,ROCK & POP LEGENDS,157236,Smokey Robinson,
1853,Samuel L. Jackson,MODERN ACTORS,479131,Samuel L. Jackson,
1854,Nat King Cole,ROCK & POP LEGENDS,144638,Nat King Cole,
1855,Peter Dinklage,MODERN ACTORS,476795,Peter Dinklage,
1856,John Coltrane,ROCK & POP LEGENDS,143638,John Coltrane,
1857,Sharon Stone,MODERN ACTORS,476052,Sharon Stone,
1858,Siouxsie Sioux,ROCK & POP LEGENDS,143221,Siouxsie Sioux,
1859,Oscar Isaac,MODERN ACTORS,474375,Oscar Isaac,
1860,Marc Bolan,ROCK & POP LEGENDS,141456,Marc Bolan,
1861,Kate Winslet,MODERN ACTORS,473735,Kate Winslet,
1862,Rivers Cuomo,ROCK & POP LEGENDS,138062,Rivers Cuomo,
1863,Gal Gadot,MODERN ACTORS,472919,Gal Gadot,mild Israel flashpoint; kept as actress
1864,Roger Daltrey,ROCK & POP LEGENDS,132582,Roger Daltrey,
1865,Sarah Jessica Parker,MODERN ACTORS,469350,Sarah Jessica Parker,
1866,Simon Le Bon,ROCK & POP LEGENDS,131645,Simon Le Bon,
1867,Sebastian Stan,MODERN ACTORS,462486,Sebastian Stan,
1868,Barry White,ROCK & POP LEGENDS,127461,Barry White,
1869,Nicholas Hoult,MODERN ACTORS,459291,Nicholas Hoult,
1870,Joey Ramone,ROCK & POP LEGENDS,127425,Joey Ramone,
1871,Danny DeVito,MODERN ACTORS,458808,Danny DeVito,
1872,Dave Gahan,ROCK & POP LEGENDS,125585,Dave Gahan,
1873,Ethan Hawke,MODERN ACTORS,452486,Ethan Hawke,
1874,Adam Ant,ROCK & POP LEGENDS,119381,Adam Ant,
1875,Shah Rukh Khan,MODERN ACTORS,449237,Shah Rukh Khan,
1876,Ella Fitzgerald,ROCK & POP LEGENDS,117911,Ella Fitzgerald,
1877,Christopher Walken,MODERN ACTORS,433532,Christopher Walken,
1878,Herbie Hancock,ROCK & POP LEGENDS,116214,Herbie Hancock,
1879,Aaron Paul,MODERN ACTORS,433345,Aaron Paul,
1880,Kenny G,ROCK & POP LEGENDS,98174,Kenny G,
1881,Paul Rudd,MODERN ACTORS,431804,Paul Rudd,
1882,The Edge,ROCK & POP LEGENDS,95113,The Edge,
1883,Brie Larson,MODERN ACTORS,431706,Brie Larson,
1884,Duke Ellington,ROCK & POP LEGENDS,91048,Duke Ellington,
1885,Karen Gillan,MODERN ACTORS,428408,Karen Gillan,
1886,Charlie Parker,ROCK & POP LEGENDS,90232,Charlie Parker,
1887,Hugh Grant,MODERN ACTORS,422699,Hugh Grant,
1888,Fela Kuti,ROCK & POP LEGENDS,88337,Fela Kuti,
1889,Akshay Kumar,MODERN ACTORS,422277,Akshay Kumar,
1890,Thelonious Monk,ROCK & POP LEGENDS,76497,Thelonious Monk,
1891,Elijah Wood,MODERN ACTORS,422202,Elijah Wood,
1892,Dizzy Gillespie,ROCK & POP LEGENDS,61819,Dizzy Gillespie,
1893,Ben Kingsley,MODERN ACTORS,421746,Ben Kingsley,
1894,Miriam Makeba,ROCK & POP LEGENDS,49243,Miriam Makeba,
1895,Cate Blanchett,MODERN ACTORS,419694,Cate Blanchett,
1896,David Harbour,MODERN ACTORS,419387,David Harbour,
1897,Gerard Butler,MODERN ACTORS,417511,Gerard Butler,
1898,Adam Driver,MODERN ACTORS,412919,Adam Driver,
1899,Paul Bettany,MODERN ACTORS,412758,Paul Bettany,
1900,Benedict Cumberbatch,MODERN ACTORS,411644,Benedict Cumberbatch,
1901,Hugo Weaving,MODERN ACTORS,411375,Hugo Weaving,
1902,Antonio Banderas,MODERN ACTORS,409832,Antonio Banderas,
1903,Donald Glover,MODERN ACTORS,408917,Donald Glover,
1904,James McAvoy,MODERN ACTORS,408305,James McAvoy,
1905,Bob Odenkirk,MODERN ACTORS,403807,Bob Odenkirk,
1906,Alia Bhatt,MODERN ACTORS,402970,Alia Bhatt,
1907,Joseph Gordon-Levitt,MODERN ACTORS,400524,Joseph Gordon-Levitt,
1908,Andy Serkis,MODERN ACTORS,398008,Andy Serkis,
1909,David Corenswet,MODERN ACTORS,395030,David Corenswet,
1910,Amitabh Bachchan,MODERN ACTORS,393852,Amitabh Bachchan,
1911,Meg Ryan,MODERN ACTORS,386044,Meg Ryan,
1912,Viola Davis,MODERN ACTORS,385894,Viola Davis,
1913,Steve Buscemi,MODERN ACTORS,384836,Steve Buscemi,
1914,Kat Dennings,MODERN ACTORS,380729,Kat Dennings,
1915,Judi Dench,MODERN ACTORS,380526,Judi Dench,
1916,Whoopi Goldberg,MODERN ACTORS,380467,Whoopi Goldberg,
1917,Jesse Eisenberg,MODERN ACTORS,379793,Jesse Eisenberg,
1918,Rachel Zegler,MODERN ACTORS,379170,Rachel Zegler,
1919,Maggie Smith,MODERN ACTORS,377549,Maggie Smith,
1920,Lucy Liu,MODERN ACTORS,368269,Lucy Liu,
1921,Glenn Close,MODERN ACTORS,365882,Glenn Close,
1922,John Malkovich,MODERN ACTORS,364166,John Malkovich,
1923,Sigourney Weaver,MODERN ACTORS,363998,Sigourney Weaver,
1924,Natasha Lyonne,MODERN ACTORS,362096,Natasha Lyonne,
1925,Mads Mikkelsen,MODERN ACTORS,359381,Mads Mikkelsen,
1926,Oprah Winfrey,MODERN ACTORS,354917,Oprah Winfrey,
1927,Hayden Christensen,MODERN ACTORS,350094,Hayden Christensen,
1928,Julia Garner,MODERN ACTORS,349982,Julia Garner,
1929,Joe Pesci,MODERN ACTORS,346451,Joe Pesci,
1930,John Turturro,MODERN ACTORS,344201,John Turturro,
1931,Evan Peters,MODERN ACTORS,343486,Evan Peters,
1932,Jeremy Renner,MODERN ACTORS,343349,Jeremy Renner,
1933,Aishwarya Rai,MODERN ACTORS,341105,Aishwarya Rai,
1934,Awkwafina,MODERN ACTORS,332563,Awkwafina,
1935,Laurence Fishburne,MODERN ACTORS,331968,Laurence Fishburne,
1936,Jamie Foxx,MODERN ACTORS,330212,Jamie Foxx,
1937,Deepika Padukone,MODERN ACTORS,328212,Deepika Padukone,
1938,Rosario Dawson,MODERN ACTORS,326639,Rosario Dawson,
1939,Chris Pine,MODERN ACTORS,319007,Chris Pine,
1940,Tilda Swinton,MODERN ACTORS,318051,Tilda Swinton,
1941,Daisy Ridley,MODERN ACTORS,317514,Daisy Ridley,
1942,Alicia Silverstone,MODERN ACTORS,308136,Alicia Silverstone,
1943,Paul Dano,MODERN ACTORS,307411,Paul Dano,
1944,Matt LeBlanc,MODERN ACTORS,303565,Matt LeBlanc,
1945,Michael Shannon,MODERN ACTORS,302290,Michael Shannon,
1946,Ranveer Singh,MODERN ACTORS,300882,Ranveer Singh,
1947,Michelle Yeoh,MODERN ACTORS,294872,Michelle Yeoh,
1948,Hrithik Roshan,MODERN ACTORS,286238,Hrithik Roshan,
1949,Anthony Mackie,MODERN ACTORS,282210,Anthony Mackie,
1950,Rupert Grint,MODERN ACTORS,276835,Rupert Grint,
1951,Angela Bassett,MODERN ACTORS,275909,Angela Bassett,
1952,Queen Latifah,MODERN ACTORS,274791,Queen Latifah,
1953,Michael Cera,MODERN ACTORS,273095,Michael Cera,
1954,Rajinikanth,MODERN ACTORS,271734,Rajinikanth,
1955,David Schwimmer,MODERN ACTORS,270452,David Schwimmer,
1956,Diego Luna,MODERN ACTORS,257103,Diego Luna,
1957,Wesley Snipes,MODERN ACTORS,256464,Wesley Snipes,
1958,Jeffrey Wright,MODERN ACTORS,253183,Jeffrey Wright,
1959,Ming-Na Wen,MODERN ACTORS,252641,Ming-Na Wen,
1960,Zachary Levi,MODERN ACTORS,249083,Zachary Levi,
1961,Marion Cotillard,MODERN ACTORS,247250,Marion Cotillard,
1962,Martin Freeman,MODERN ACTORS,246866,Martin Freeman,
1963,Djimon Hounsou,MODERN ACTORS,240894,Djimon Hounsou,
1964,Forest Whitaker,MODERN ACTORS,234930,Forest Whitaker,
1965,Simu Liu,MODERN ACTORS,231970,Simu Liu,
1966,Daniel Kaluuya,MODERN ACTORS,219834,Daniel Kaluuya,
1967,Warwick Davis,MODERN ACTORS,203470,Warwick Davis,
1968,Hiroyuki Sanada,MODERN ACTORS,201807,Hiroyuki Sanada,
1969,Sterling K. Brown,MODERN ACTORS,200621,Sterling K. Brown,
1970,Finn Wolfhard,MODERN ACTORS,199922,Finn Wolfhard,
1971,Sandra Oh,MODERN ACTORS,197964,Sandra Oh,
1972,Gwendoline Christie,MODERN ACTORS,194716,Gwendoline Christie,
1973,Stephen Chow,MODERN ACTORS,185327,Stephen Chow,
1974,Letitia Wright,MODERN ACTORS,177199,Letitia Wright,
1975,Jean Reno,MODERN ACTORS,175869,Jean Reno,
1976,Lee Byung-hun,MODERN ACTORS,172201,Lee Byung-hun,
1977,Ken Watanabe,MODERN ACTORS,127829,Ken Watanabe,
1978,Zhang Ziyi,MODERN ACTORS,117739,Zhang Ziyi,
1979,Winston Duke,MODERN ACTORS,107701,Winston Duke,
1980,Ian McDiarmid,MODERN ACTORS,103239,Ian McDiarmid,
1981,Song Kang-ho,MODERN ACTORS,95023,Song Kang-ho,
1982,Gong Li,MODERN ACTORS,89596,Gong Li,
1983,John Boyega,MODERN ACTORS,88422,John Boyega,
1984,Lee Jung-jae,MODERN ACTORS,84869,Lee Jung-jae,
1985,Takeshi Kitano,MODERN ACTORS,73704,Takeshi Kitano,
1986,Roberto Benigni,MODERN ACTORS,66983,Roberto Benigni,
1987,Andy Lau,MODERN ACTORS,60808,Andy Lau,
